,Dtype,sample_data_1,sample_data_2,sample_data_3,sample_data_4,sample_data_5,max,min,mean,std,median,Correlation with price_doc,top_corr_1,top_corr_2,top_corr_3,top_corr_4,top_corr_5,missing_values_count,missing_values_percentage,Drop it,Importance_level,Comment
id,int64,8157,8290,8390,8394,8413,30473,8059,19849.990069513406,6081.011372591828,19874.5,0.12120315539259012,price_doc,incineration_km,sub_area_Poselenie Vnukovskoe,church_synagogue_km,hospice_morgue_km,0.0,0.0,0,1, 
timestamp,object,2013-05-27,2013-06-03,2013-06-07,2013-06-07,2013-06-10,2015-06-30,2013-05-21,,,,,,,,,,,,0,1, 
full_sq,int64,45,77,56,31,43,637,1,53.37454485269778,24.01194112319152,46.0,0.3418404597538006,num_room,price_doc,timestamp_2012-09-07,life_sq,max_floor,0.0,0.0,0,1, 
life_sq,float64,27.0,50.0,29.0,21.0,27.0,637.0,0.0,33.19894074809665,20.19000489113004,29.0,0.16560596919259707,num_room,timestamp_2013-12-30,price_doc,full_sq,product_type_OwnerOccupier,6383.0,0.20947786419874634,0,1, 
floor,float64,6.0,3.0,5.0,5.0,1.0,77.0,0.0,6.56454816285998,4.960885345991272,5.0,0.11744720766824455,max_floor,product_type_OwnerOccupier,sub_area_Nekrasovka,price_doc,sub_area_Mitino,167.0,0.005480620918250139,0,1, 
max_floor,float64,9.0,5.0,16.0,9.0,5.0,48.0,0.0,11.58606421714664,6.216154797620692,10.0,0.09438551861023835,floor,sub_area_Poselenie Vnukovskoe,sub_area_Poselenie Moskovskij,sub_area_Nekrasovka,cafe_sum_500_max_price_avg,9572.0,0.31413475107479244,0,1, 
material,float64,1.0,2.0,5.0,5.0,2.0,6.0,1.0,2.0491559086395235,1.4958088938215448,1.0,0.06404720198339423,build_count_block,incineration_raion_no,build_count_1946-1970,sub_area_Poselenie Filimonkovskoe,sport_count_5000,9572.0,0.31413475107479244,0,1, 
build_year,float64,1970.0,1957.0,1987.0,1962.0,1960.0,20052009.0,0.0,5271.442734193975,257943.97855758911,1972.0,0.002160935167853987,state,timestamp_2013-08-27,sub_area_Cheremushki,mosque_count_5000,ecology_satisfactory,13605.0,0.44649010534606676,0,1, 
num_room,float64,2.0,3.0,2.0,1.0,2.0,17.0,0.0,1.997020854021847,0.8895228206353784,2.0,0.4763365380060346,full_sq,price_doc,life_sq,trc_count_5000,sport_count_3000,9572.0,0.31413475107479244,0,1, 
kitch_sq,float64,6.0,8.0,10.0,5.0,5.0,96.0,0.0,7.391095663687521,3.8061981910052256,7.0,0.028717732936377447,timestamp_2013-12-14,timestamp_2014-08-11,product_type_Investment,timestamp_2015-03-31,timestamp_2013-09-10,9572.0,0.31413475107479244,0,1, 
state,float64,3.0,2.0,2.0,3.0,2.0,33.0,1.0,2.4030122476001323,0.7905736213254186,2.0,0.12130329240033325,product_type_Investment,ekder_female,ekder_all,raion_popul,work_all,13559.0,0.44498047323684814,0,1, 
product_type,object,Investment,Investment,Investment,Investment,Investment,OwnerOccupier,Investment,,,,,,,,,,,,0,1, 
sub_area,object,Severnoe Butovo,Ajeroport,Horoshevo-Mnevniki,Ramenki,Preobrazhenskoe,Zjuzino,Ajeroport,,,,,,,,,,,,0,1, 
area_m,float64,8889466.752,4662813.069,18036436.51,18800000.1,5586342.585,52351766.54,2081627.761,9624666.756602615,6910462.094774417,7963518.819,0.16698113260419045,kindergarten_km,school_km,preschool_km,shopping_centers_km,additional_education_km,0.0,0.0,0,1, 
raion_popul,int64,90114,73007,166803,125111,83502,219609,21040,103627.15905329361,37365.72498867788,96959.0,0.1515873631973377,work_all,work_male,work_female,0_17_all,0_17_female,0.0,0.0,0,1, 
green_zone_part,float64,0.579644597,0.109947031,0.232080423,0.169625419,0.086219843,0.683844404,0.001879375,0.16846681076431644,0.15511399264257228,0.112559644,0.09448640540244846,green_part_2000,green_part_3000,green_part_5000,green_part_1500,green_part_1000,0.0,0.0,0,1, 
indust_part,float64,0.0,0.050272014,0.111627393,0.019508796,0.040242764,0.458174486,0.0,0.12015161613561734,0.1193057142520845,0.093442564,0.08261410128651268,prom_part_2000,prom_part_1500,prom_part_3000,prom_part_1000,prom_part_5000,0.0,0.0,0,1, 
children_preschool,int64,5102,4348,10955,8371,3381,10955,1379,5923.904501820589,2280.8918375400413,5506.0,0.13395706085273026,0_6_all,0_6_male,0_6_female,0_13_male,0_13_all,0.0,0.0,0,1, 
preschool_quota,float64,3617.0,2058.0,3397.0,903.0,1820.0,7610.0,0.0,2600.342105263158,1395.7800696950283,2372.0,0.07511809130500427,school_quota,build_count_panel,0_6_male,0_6_all,children_preschool,6688.0,0.2194873814446523,0,1, 
preschool_education_centers_raion,int64,6,3,4,8,2,10,1,4.671135385633896,1.8322980131917928,5.0,0.15941787766165982,school_education_centers_raion,work_female,school_quota,work_all,0_6_all,0.0,0.0,0,1, 
children_school,int64,4798,4231,12238,7687,3478,12238,1318,6258.178583250579,2480.8032523912025,5776.0,0.13885986625331975,7_14_all,7_14_male,7_14_female,0_17_female,young_female,0.0,0.0,0,1, 
school_quota,float64,7653.0,4975.0,11085.0,7788.0,4169.0,16049.0,2022.0,7155.720787818603,2730.3053649469584,6766.0,0.014011784963067297,preschool_quota,0_6_male,0_13_male,young_male,preschool_education_centers_raion,6685.0,0.21938892717665978,0,1, 
school_education_centers_raion,int64,6,6,5,8,3,13,1,5.631082423038729,2.280041685560075,5.0,0.1936360863711074,preschool_education_centers_raion,work_female,0_6_male,children_preschool,0_6_all,0.0,0.0,0,1, 
school_education_centers_top_20_raion,int64,0,1,0,0,1,1,0,0.09549817941079113,0.29392614006234163,0.0,0.10228284323576778,cafe_count_1000_price_500,cafe_count_1500_price_500,leisure_count_2000,cafe_count_1500_price_1500,cafe_count_2000_price_1000,0.0,0.0,0,1, 
hospital_beds_raion,float64,30.0,1020.0,1970.0,176.0,2729.0,4849.0,30.0,1384.5423700761337,1158.790520140218,1084.0,0.14713672644147885,market_count_5000,radiation_raion_yes,trc_count_5000,sport_count_5000,market_count_3000,14441.0,0.4739260280266483,0,1, 
healthcare_centers_raion,int64,2,0,2,5,3,6,0,2.212512413108242,1.4670205599171073,2.0,0.19000612089201369,sport_objects_raion,ekder_female,ekder_all,raion_popul,sport_count_5000,0.0,0.0,0,1, 
university_top_20_raion,int64,0,1,0,1,0,3,0,0.2967560410460113,0.6052406480730381,0.0,0.1658271037018072,office_raion,church_count_3000,cafe_count_3000_price_1000,cafe_count_3000_price_1500,cafe_count_3000,0.0,0.0,0,1, 
sport_objects_raion,int64,6,4,18,12,9,29,0,10.126779212181397,6.6966439415599295,8.0,0.25279442874208363,sport_count_2000,sport_count_1500,sport_count_3000,sport_count_1000,shopping_centers_raion,0.0,0.0,0,1, 
additional_education_raion,int64,1,3,4,5,3,16,0,3.160211850380669,3.1166398499746233,2.0,0.057688739405667856,shopping_centers_raion,sub_area_Tverskoe,culture_objects_top_25_raion,cafe_count_1000_price_500,trc_count_1000,0.0,0.0,0,1, 
culture_objects_top_25,object,no,no,no,yes,no,yes,no,,,,,,,,,,,,0,1, 
culture_objects_top_25_raion,int64,0,0,0,1,0,10,0,0.48593181065872226,1.8321063941308091,0.0,0.0442961529485187,sub_area_Tverskoe,cafe_count_1000_price_500,cafe_count_1000_price_2500,cafe_count_1000_price_4000,cafe_count_1500_price_500,0.0,0.0,0,1, 
shopping_centers_raion,int64,8,3,3,5,1,23,0,5.487255875537901,4.897416774329361,5.0,0.1508249483576461,trc_count_1500,trc_count_2000,trc_count_1000,trc_count_3000,sport_objects_raion,0.0,0.0,0,1, 
office_raion,int64,0,14,8,11,11,141,0,15.440913604766633,30.054371647335927,5.0,0.1457183596024317,office_count_3000,office_count_2000,cafe_count_3000_price_1500,cafe_count_3000,cafe_count_3000_price_2500,0.0,0.0,0,1, 
thermal_power_plant_raion,object,no,no,yes,no,no,yes,no,,,,,,,,,,,,0,1, 
incineration_raion,object,no,no,no,no,no,no,no,,,,,,,,,,,,0,1, 
